lemma,grammar_gloss,meaning_en,meaning_pl,source,universe,etymology_languages,etymology_words,example_wen,example_wen_source,info
akademia,f. I,academy,akademia,dictionary_steenbergen,any,latin_learned,academiam,,,
akademicy,adj,academic,akademiczny,dictionary_steenbergen,any,latin_learned,academicum + is,,,
akcent,n,"accent, stress",akcent,dictionary_steenbergen,any,latin_learned,accentum,,,
akordeon,m,accordeon,akordeon,dictionary_steenbergen,any,french,accordéon,,,
aktórz,m,actor,aktor,dictionary_steenbergen,any,latin_learned,actorem,,,
aktrzyca,f. I,actress,aktorka,dictionary_steenbergen,any,latin_learned,actricem,,,
akuratamięć,adv,"precisely, exactly",dokładnie,dictionary_steenbergen,any,latin_learned,accurata + mente,,,
akuraty,adj,precisely,dokładny,dictionary_steenbergen,any,latin_learned,accuratum + is,,,
album,n,album,album,dictionary_steenbergen,any,latin_learned,album,,,
alergia,f. I,allergy,alergia,dictionary_steenbergen,any,latin_learned,allergiam,,,
alergicy,adj,allergic,"alergiczny, uczulony",dictionary_steenbergen,any,latin_learned,allergicum + is,,,
alfabet,m,alphabet,"alfabet, abecadło",dictionary_steenbergen,any,latin_learned,alphabetum,,,
alternaciwy,adj,alternative,alternatywny,dictionary_steenbergen,any,latin_learned,alternativum + is,,,
ambasada,f. I,embassy,ambasada,dictionary_steenbergen,any,french,ambassade,,,
ambasadórz,m,ambassador,ambasador,dictionary_steenbergen,any,french,ambassadeur,,,
anonim,m,anonymous,anonim,dictionary_steenbergen,any,latin_learned,anonymum,,,
anonimy,adj,anonymous,anonimowy,dictionary_steenbergen,any,latin_learned,anonymum + is,,,
aparat,m,apparatus,aparat,dictionary_steenbergen,any,latin_learned,apparatum,,,
apatia,f. I,apathy,apatia,dictionary_steenbergen,any,latin_learned,apathiam,,,
apatycy,adj,apathetic,apatyczny,dictionary_steenbergen,any,latin_learned,apathicum + is,,,
archeologia,f. I,archaeology,archeologia,dictionary_steenbergen,any,latin_learned,archaeologiam,,,
archeologicy,adj,archeological,archeologiczny,dictionary_steenbergen,any,latin_learned,archaeologicum + is,,,
archiwum,n,archive,archiwum,dictionary_steenbergen,any,latin_learned,archivum,,,
artykuł,n,article,artykuł,dictionary_steenbergen,any,latin_learned,articulum,,,
astrologia,f. I,astrology,astrologia,dictionary_steenbergen,any,latin_learned,astrologiam,,,
astrologicy,adj,astrological,astrologiczny,dictionary_steenbergen,any,latin_learned,astrologicum + is,,,
astronomia,f. I,astronomy,astronomia,dictionary_steenbergen,any,latin_learned,astronomiam,,,
astronomicy,adj,astronomical,astronomiczny,dictionary_steenbergen,any,latin_learned,astronomicum + is,,,
automat,m,automat,automat,dictionary_steenbergen,any,latin_learned,automatum,,,
