lemma,grammar_gloss,meaning_en,meaning_pl,source,universe,etymology_languages,etymology_words,example_wen,example_wen_source,info
autostrada,f. I,highway,autostrada,dictionary_steenbergen,any,italian,autostrada,,,
biurokratycy,adj,bureaucratic,biurokratyczny,dictionary_steenbergen,any,french,bureaucratique,,,
brawy,adj,brave,odważny,dictionary_steenbergen,any,italian,bravo,,,
cezarz,m,emperor,cesarz,dictionary_steenbergen,any,latin_inherited,caesarem,,,
chrzyszczany,adj,Christian,chrześcijański,dictionary_steenbergen,any,latin_inherited,christianum + is,,,
czartany,adj,certain,"pewny, pewien",dictionary_steenbergen,any,latin_inherited,certanum + is,,,
dzeczmy,num,tenth,dziesiąty,dictionary_steenbergen,any,latin_inherited,decimum + is,,,
eleganty,adj,elegant,elegantny,dictionary_steenbergen,any,latin_learned,elegantem + is,,,
fałsy,adj,FALSE,fałszywy,dictionary_steenbergen,any,latin_learned,falsum + is,,,
faszczyski,adj,fascist,faszystowski,dictionary_steenbergen,any,italian,fascista,,,
fet,m,foetus,płód,dictionary_steenbergen,any,latin,foetum,,,
fiebra,f. I,fibre,włókno,dictionary_steenbergen,any,latin_inherited,fibram,,,
fierzy,adj,iron,żelazny,dictionary_steenbergen,any,latin_inherited,ferreum + is,,,
flesibły,adj,flexible,giętki,dictionary_steenbergen,any,latin,flexibilem + is,,,
flet,m,flute,flet,dictionary_steenbergen,any,french,flûte,,,
fober,m,craftsman,rzemieślnik,dictionary_steenbergen,any,latin_inherited,fabrum,,,
grędzi,adj,"great, big","duży, wielki",dictionary_steenbergen,any,latin_inherited,grandem + is,,,
grosy,adj,thick,gruby,dictionary_steenbergen,any,latin_inherited,grossum + is,,,
gustuzy,adj,"tasty, good","pyszny, smaczny",dictionary_steenbergen,any,latin_inherited,gustosum + is,,,
horoskop,m,horoscope,horoskop,dictionary_steenbergen,any,latin_learned,horoscopum,,,
identycy,adj,identical,identyczny,dictionary_steenbergen,any,latin_learned,identicum + is,,,
kelner,m,waiter,kelner,dictionary_steenbergen,any,german,Kellner,,,
kmody,adj,comfortable,wygodny,dictionary_steenbergen,any,latin_inherited,commodum + is,,,
komplety,adj,complete,kompletny,dictionary_steenbergen,any,latin_learned,completum + is,,,
komuniski,adj,communist,komunistyczny,dictionary_steenbergen,any,latin_learned,communisticum + is,,,
kosmetycy,adj,cosmetic,kosmetyczny,dictionary_steenbergen,any,latin_learned,cosmeticum + is,,,
krytycy,adj,critical,krytyczny,dictionary_steenbergen,any,latin_learned,criticum + is,,,
krytyka,f. I,criticism,krytyka,dictionary_steenbergen,any,latin_learned,criticam,,,
lirycy,adj,lyrical,liryczny,dictionary_steenbergen,any,latin_learned,lyricum + is,,,
liryka,f. I,lyricism,liryka,dictionary_steenbergen,any,latin_learned,lyricam,,,
liwry,adj,free,wolny,dictionary_steenbergen,any,latin_inherited,liberum + is,,,
magnetycy,adj,magnetic,magnetyczny,dictionary_steenbergen,any,latin_learned,magneticum + is,,,
maj,m,May,maj,dictionary_steenbergen,any,latin_learned,Maium,,,
maska,f. I,mask; bonnet (hood),maska,dictionary_steenbergen,any,french,masque,,,
matematycy,adj,mathematical,matematyczny,dictionary_steenbergen,any,latin_learned,mathematicum + is,,,
matematyka,f. I,mathematics,matematyka,dictionary_steenbergen,any,latin_learned,mathematicam,,,
mikrofon,m,microphone,mikrofon,dictionary_steenbergen,any,latin_learned,microfonium,,,
mikroskop,m,microscope,mikroskopijny,dictionary_steenbergen,any,latin_learned,microscopium,,,
mil,num,thousand,tysiąc,dictionary_steenbergen,any,latin_inherited,mille,,,
"miliard, -u",num,billion,miliard,dictionary_steenbergen,any,french,milliard,,,
"milion, -u",num,million,milion,dictionary_steenbergen,any,latin_learned,milionem,,,
militarzy,adj,military,wojskowy,dictionary_steenbergen,any,latin_learned,militarem + is,,,
minister,m,minister,minister,dictionary_steenbergen,any,latin_learned,ministrum,,,
modziesty,adj,modest,skromny,dictionary_steenbergen,any,latin_inherited,modestum + is,,,
monarchiski,adj,monarchist,monarchistyczny,dictionary_steenbergen,any,latin_learned,monarchisticum + is,,,
mroty,adj,dead,martwy,dictionary_steenbergen,any,latin_inherited,mortuum + is,,,
muzycy,adj,musical,muzyczny,dictionary_steenbergen,any,latin_learned,musicum + is,,,
muzyka,f. I,music,muzyka,dictionary_steenbergen,any,latin_learned,musicam,,,
narkoza,f. I,narcose,narkoza,dictionary_steenbergen,any,french,narcose,,,
nębruzy,adj,numerous,liczny,dictionary_steenbergen,any,latin_inherited,numerosum + is,,,
niekomplety,adj,incomplete,niekompletny,dictionary_steenbergen,any,latin_learned,ne + completum + is,,,
nieposibły,adj,impossible,niemożliwy,dictionary_steenbergen,any,latin_learned,ne + possibilem + is,,,
noconalista,m. I,nationalist,nacjonalista,dictionary_steenbergen,any,latin_inherited,nationalistam,,,
noconalizm,m,nationalism,nacjonalizm,dictionary_steenbergen,any,latin_learned,nationalismum,,,
nówmy,num,ninth,dziewiąty,dictionary_steenbergen,any,latin_inherited,novem + is,,,
nubły,adj,noble,szlachetny,dictionary_steenbergen,any,latin_inherited,nobilem + is,,,
optymiski,adj,optimistic,optymistyczny,dictionary_steenbergen,any,latin_learned,optimisticum + is,,,
ortodoksy,adj,orthodox,prawosławny,dictionary_steenbergen,any,latin_learned,orthodoxum + is,,,
panika,f. I,panic,panika,dictionary_steenbergen,any,latin_learned,panicam,,,
patriotycy,adj,patriottic,patriotyczny,dictionary_steenbergen,any,latin_learned,patrioticum + is,,,
periodycy,adj,periodic,okresowy,dictionary_steenbergen,any,latin_learned,periodicum + is,,,
pesymiski,adj,pessimistic,pesymistyczny,dictionary_steenbergen,any,latin_learned,pessimisticum + is,,,
pika,f. I,magpie,sroka,dictionary_steenbergen,any,latin_inherited,picam,,,
plastyk,m,plastic,plastyk,dictionary_steenbergen,any,latin_learned,plasticum,,,
