lemma,grammar_gloss,meaning_en,meaning_pl,source,universe,etymology_languages,etymology_words,example_wen,example_wen_source,info
alarm,n,alarm,alarm,dictionary_steenbergen,any,french__claude,alarme,,,
atak,m,attack,"atak, napad",dictionary_steenbergen,any,french__claude,attaque,,,
atakar,"v, 1",attack,atakować,dictionary_steenbergen,any,french__claude,attaquer,,,
biszkot,m,biscuit,herbatnik,dictionary_steenbergen,any,french__claude,biscuit,,,
biuro,n,bureau,biuro,dictionary_steenbergen,any,french__claude,bureau,,,
bomba,f. I,bomb,bomba,dictionary_steenbergen,any,french__claude,bombe,,,
bombardar,"v, 1",bomb,bombardować,dictionary_steenbergen,any,french__claude,bombarder,,,
butoń,f. III,button,guzik,dictionary_steenbergen,any,french__claude,bouton,,,
dewiza,f. I,motto,dewiza,dictionary_steenbergen,any,french__claude,devise,,,
gardzin,m,garden,ogród,dictionary_steenbergen,any,french__claude,jardin,,,
brawo,intj,bravo!,brawo!,dictionary_steenbergen,any,italian__claude,bravo,,,
emplec,m,job,etat,dictionary_steenbergen,any,french__claude,emploi,,,
emplekar,"v, 1",employ,zatrudnić,dictionary_steenbergen,any,french__claude,employer,,,
"financze, -ór",m. pl.,finances,finanse,dictionary_steenbergen,any,french__claude,finances,,,
flota,f. I,fleet,flota,dictionary_steenbergen,any,french__claude,flotte,,,
generał,m,general (mil.),generał,dictionary_steenbergen,any,french__claude,général,,,
gitara,f. I,guitar,gitara,dictionary_steenbergen,any,italian__claude,chitarra,,,
gaz,n,gas,gaz,dictionary_steenbergen,any,french__claude,gaz,,,
cynk,n,zinc,cynk,dictionary_steenbergen,any,german__claude,Zink,,,
handel,m,trade,handel,dictionary_steenbergen,any,german__claude,Handel,,,
aspekt,m,aspect,aspekt,dictionary_steenbergen,any,latin_learned__claude,aspectum,,,
atom,n,atom,atom,dictionary_steenbergen,any,latin_learned__claude,atomum,,,
architekt,m,architect,architekt,dictionary_steenbergen,any,latin_learned__claude,architectum,,,
architektera,f. I,architecture,architektura,dictionary_steenbergen,any,latin_learned__claude,architecturam,,,
arsenik,n,arsenic,arsen,dictionary_steenbergen,any,latin_learned__claude,arsenicum,,,
celibat,n,celibate,celibat,dictionary_steenbergen,any,latin_learned__claude,celibatum,,,
charakter,n,character,charakter,dictionary_steenbergen,any,latin_learned__claude,characterem,,,
chirurg,m,surgeon,chirurg,dictionary_steenbergen,any,latin_learned__claude,chirurgum,,,
demokrata,m. I,democrat,demokrata,dictionary_steenbergen,any,latin_learned__claude,democratam,,,
demon,m,demon,demon,dictionary_steenbergen,any,latin_learned__claude,daemonem,,,
dyplomata,m. I,diplomate,dyplomata,dictionary_steenbergen,any,latin_learned__claude,diplomatam,,,
dyskutar,"v, 1",discuss (intr.),dyskutować,dictionary_steenbergen,any,latin_learned__claude,discutare,,,
ekscelęca,f. I,excellency,ekscelencja,dictionary_steenbergen,any,latin_learned__claude,excellentiam,,,
"eksperymię, -tu","n. -mię, -miętu",experiment,eksperyment,dictionary_steenbergen,any,latin_learned__claude,experimentum,,,
eksperymiętały,adj,experimental,eksperymentalny,dictionary_steenbergen,any,latin_learned__claude,experimentalem + is,,,
eksperymiętar,"v, 1",experiment,eksperymentować,dictionary_steenbergen,any,latin_learned__claude,experimentare,,,
ekwiwalęć,m,equivalent,odpowiednik,dictionary_steenbergen,any,latin_learned__claude,aequivalentem,,,
elektrycy,adj,electric,elektryczny,dictionary_steenbergen,any,latin_learned__claude,electricum + is,,,
formuła,f. I,formula,formuła,dictionary_steenbergen,any,latin_learned__claude,formulam,,,
