lemma,grammar_gloss,meaning_en,meaning_pl,source,universe,etymology_languages,etymology_words,example_wen,example_wen_source,info
Jewrzej,m,Jew,Żyd,dictionary_steenbergen,?,latin_learned__claude,Iudaeum,,,"CLAUDE: Latin Iudaeus = Jew (from Greek Ioudaios, from Hebrew Yehudi); I>J, ud>ewr(metathesis), ae>ej"
afrykany,adj,African,afrykański,dictionary_steenbergen,any,latin_learned__claude,Africanum + is,,,
akwadukt,m,aqueduct,akwedukt,dictionary_steenbergen,any,latin_learned__claude,aquam + ductum,,,
ambiceń,f,ambition,ambicja,dictionary_steenbergen,any,latin_learned__claude,ambitionem,,,
arcybiskup,m,archbishop,arcybiskup,dictionary_steenbergen,any,latin_learned__claude,archi- + episcopum,,,CLAUDE: Medieval Latin archiepiscopus; archi- (Greek) + episcopus (Greek via Latin)
bilet,m,ticket,bilet,dictionary_steenbergen,any,french__claude,billet,,,
biologia,f. I,biology,biologia,dictionary_steenbergen,any,latin_learned__claude,biologiam,,,
bohemki,adj,Bohemian,bohemski,dictionary_steenbergen,?,latin_learned__claude,Bohemicum + is,,,
bor,n,boron,bor,dictionary_steenbergen,any,latin_learned__claude,borum,,,"CLAUDE: Neo-Latin chemical term, ultimately from Arabic buraq via Medieval Latin borax"
boszar,"v, 2",lower,spuszczać,dictionary_steenbergen,any,latin_inherited__claude,bassare,,,
chaos,m,chaos,chaos,dictionary_steenbergen,any,latin_learned__claude,chaos,,,
cholera,f. I,cholera,cholera,dictionary_steenbergen,any,latin_learned__claude,choleram,,,
ciasta,f. I,pot,"słoik, doniczka",dictionary_steenbergen,any,latin_inherited__claude,testam,,,CLAUDE: pot/jar; Latin testa = earthen pot
cynamon,m,cinnamon,cynamon,dictionary_steenbergen,any,latin_learned__claude,cinnamomum,,,
częcień,f,century,"wiek, stulecie",dictionary_steenbergen,any,latin_inherited__claude,centuriam,,,"CLAUDE: Latin centuria = group of 100, century; cent- > częt-"
damnar,"v, 1",damn,"potępiać, przeklinać",dictionary_steenbergen,any,latin_learned__claude,damnare,,,
demagog,m,demagogue,demagog,dictionary_steenbergen,any,latin_learned__claude,demagogum,,,
desfiedzar,"v, 1",betray,zdradzać,dictionary_steenbergen,any,latin_inherited__claude,dis- + fidare,,,
dezmiecier,"v, irr.","send out, distribute",rozsylać,dictionary_steenbergen,any,latin_inherited__claude,dis- + mittere,,,
dezrodzień,f,"disorder, mess","nieład, nieporządek",dictionary_steenbergen,any,latin_inherited__claude,dis- + ordinem,,,
dziabeł,m,devil,diabeł,dictionary_steenbergen,any,latin_learned__claude,diabolum,,,
dziefięca,f. I,defence,obrona,dictionary_steenbergen,any,latin_inherited__claude,defensam,,,
dziejer,"v, irr.","leave, go away",odchodzić,dictionary_steenbergen,any,latin_inherited__claude,de- + ire,,,
dziekołorar,"v, 1",discolour,odbarwiać,dictionary_steenbergen,any,latin_inherited__claude,dis- + colorare,,,
dziemięci,adj,stupid,szalony,dictionary_steenbergen,any,latin_learned__claude,dementem + is,,,
dzierzecar,"v, 2",direct,kierować,dictionary_steenbergen,any,latin_inherited__claude,dirigere,,,
dziestryjer,"v, 7",destruct,"demontować, demolować",dictionary_steenbergen,any,latin_learned__claude,dis- + struere,,,
dzieszczędzier,"v, 7",descend,"schodzić, zejść",dictionary_steenbergen,any,latin_inherited__claude,de- + scandere,,,
dziewnier,"v, irr.",become,stać się,dictionary_steenbergen,any,latin_inherited__claude,de- + venire,,,
egoiski,adj,egoistic,egoistyczny,dictionary_steenbergen,any,latin_learned__claude,ego + is,,,
ekran,m,screen,ekran,dictionary_steenbergen,any,french__claude,écran,,,
elemiętarzy,adj,elementary,elementarny,dictionary_steenbergen,any,latin_learned__claude,elementarium + is,,,
enjer,"v, irr.","enter, go in","wchodzić, wejść",dictionary_steenbergen,any,latin_inherited__claude,in- + ire,,,
ferza,f. I,fury,"gniew, wściekłość",dictionary_steenbergen,any,latin_inherited__claude,furiam,,,
fiecz,f,"dung, manure","nawóz, gnój",dictionary_steenbergen,any,latin_inherited__claude,faecum,,,"CLAUDE: Latin faex/faecis = dregs, sediment, dung"
focwalemięć,adv,in fact,faktycznie,dictionary_steenbergen,any,latin_inherited__claude,de + facto,,,CLAUDE: Latin de facto = in fact
