lemma,grammar_gloss,meaning_en,meaning_pl,source,universe,etymology_languages,etymology_words,example_wen,example_wen_source,info
autostrada,f. I,highway,autostrada,dictionary_steenbergen,any,italian__claude,autostrada,,,
biurokratycy,adj,bureaucratic,biurokratyczny,dictionary_steenbergen,any,latin_learned__claude,bureaucraticum,,,
brawy,adj,brave,odważny,dictionary_steenbergen,any,italian__claude,bravo,,,
cezarz,m,emperor,cesarz,dictionary_steenbergen,any,latin_learned__claude,caesarem,,,
chrzyszczany,adj,Christian,chrześcijański,dictionary_steenbergen,any,latin_inherited__claude,christianum,,,
czartany,adj,certain,"pewny, pewien",dictionary_steenbergen,any,latin_inherited__claude,certanum,,,
dzeczmy,num,tenth,dziesiąty,dictionary_steenbergen,any,latin_inherited__claude,decimum,,,
eleganty,adj,elegant,elegantny,dictionary_steenbergen,any,latin_learned__claude,elegantem,,,
fałsy,adj,FALSE,fałszywy,dictionary_steenbergen,any,latin_learned__claude,falsum,,,
faszczyski,adj,fascist,faszystowski,dictionary_steenbergen,any,italian__claude,fascista,,,
fet,m,foetus,płód,dictionary_steenbergen,any,latin_learned__claude,foetum,,,
fiebra,f. I,fibre,włókno,dictionary_steenbergen,any,latin_learned__claude,fibram,,,
fierzy,adj,iron,żelazny,dictionary_steenbergen,any,latin_inherited__claude,ferreum,,,
flesibły,adj,flexible,giętki,dictionary_steenbergen,any,latin_learned__claude,flexibilem,,,
flet,m,flute,flet,dictionary_steenbergen,any,french__claude,flûte,,,
fober,m,craftsman,rzemieślnik,dictionary_steenbergen,any,latin_inherited__claude,fabrum,,,
grędzi,adj,"great, big","duży, wielki",dictionary_steenbergen,any,latin_inherited__claude,grandem,,,
grosy,adj,thick,gruby,dictionary_steenbergen,any,latin_learned__claude,grossum,,,
gustuzy,adj,"tasty, good","pyszny, smaczny",dictionary_steenbergen,any,latin_learned__claude,gustosum,,,
horoskop,m,horoscope,horoskop,dictionary_steenbergen,any,latin_learned__claude,horoscopum,,,
identycy,adj,identical,identyczny,dictionary_steenbergen,any,latin_learned__claude,identicum,,,
kelner,m,waiter,kelner,dictionary_steenbergen,any,german__claude,Kellner,,,
kmody,adj,comfortable,wygodny,dictionary_steenbergen,any,latin_learned__claude,commodum,,,
komplety,adj,complete,kompletny,dictionary_steenbergen,any,latin_learned__claude,completum,,,
komuniski,adj,communist,komunistyczny,dictionary_steenbergen,any,latin_learned__claude,communisticum,,,
kosmetycy,adj,cosmetic,kosmetyczny,dictionary_steenbergen,any,latin_learned__claude,cosmeticum,,,
krytycy,adj,critical,krytyczny,dictionary_steenbergen,any,latin_learned__claude,criticum,,,
krytyka,f. I,criticism,krytyka,dictionary_steenbergen,any,latin_learned__claude,criticam,,,
lirycy,adj,lyrical,liryczny,dictionary_steenbergen,any,latin_learned__claude,lyricum,,,
liryka,f. I,lyricism,liryka,dictionary_steenbergen,any,latin_learned__claude,lyricam,,,
liwry,adj,free,wolny,dictionary_steenbergen,any,latin_inherited__claude,liberum,,,
magnetycy,adj,magnetic,magnetyczny,dictionary_steenbergen,any,latin_learned__claude,magneticum,,,
maj,m,May,maj,dictionary_steenbergen,any,latin_learned__claude,Maium,,,
maska,f. I,mask; bonnet (hood),maska,dictionary_steenbergen,any,italian__claude,maschera,,,
matematycy,adj,mathematical,matematyczny,dictionary_steenbergen,any,latin_learned__claude,mathematicum,,,
matematyka,f. I,mathematics,matematyka,dictionary_steenbergen,any,latin_learned__claude,mathematicam,,,
mikrofon,m,microphone,mikrofon,dictionary_steenbergen,any,latin_learned__claude,microfonium,,,
mikroskop,m,microscope,mikroskopijny,dictionary_steenbergen,any,latin_learned__claude,microscopium,,,
mil,num,thousand,tysiąc,dictionary_steenbergen,any,latin_learned__claude,mille,,,
"miliard, -u",num,billion,miliard,dictionary_steenbergen,any,french__claude,milliard,,,
"milion, -u",num,million,milion,dictionary_steenbergen,any,latin_learned__claude,milionem,,,
militarzy,adj,military,wojskowy,dictionary_steenbergen,any,latin_learned__claude,militarem,,,
minister,m,minister,minister,dictionary_steenbergen,any,latin_learned__claude,ministrum,,,
modziesty,adj,modest,skromny,dictionary_steenbergen,any,latin_inherited__claude,modestum,,,
monarchiski,adj,monarchist,monarchistyczny,dictionary_steenbergen,any,latin_learned__claude,monarchisticum,,,
mroty,adj,dead,martwy,dictionary_steenbergen,any,latin_inherited__claude,mortuum,,,
muzycy,adj,musical,muzyczny,dictionary_steenbergen,any,latin_learned__claude,musicum,,,
muzyka,f. I,music,muzyka,dictionary_steenbergen,any,latin_learned__claude,musicam,,,
narkoza,f. I,narcose,narkoza,dictionary_steenbergen,any,german__claude,Narkose,,,
nębruzy,adj,numerous,liczny,dictionary_steenbergen,any,latin_learned__claude,numerosum,,,
niekomplety,adj,incomplete,niekompletny,dictionary_steenbergen,any,latin_learned__claude,incompletum,,,
nieposibły,adj,impossible,niemożliwy,dictionary_steenbergen,any,latin_learned__claude,impossibilem,,,
noconalista,m. I,nationalist,nacjonalista,dictionary_steenbergen,any,latin_learned__claude,nationalistam,,,
noconalizm,m,nationalism,nacjonalizm,dictionary_steenbergen,any,latin_learned__claude,nationalismum,,,
nówmy,num,ninth,dziewiąty,dictionary_steenbergen,any,latin_inherited__claude,nonum,,,
nubły,adj,noble,szlachetny,dictionary_steenbergen,any,latin_inherited__claude,nobilem,,,
optymiski,adj,optimistic,optymistyczny,dictionary_steenbergen,any,latin_learned__claude,optimisticum,,,
ortodoksy,adj,orthodox,prawosławny,dictionary_steenbergen,any,latin_learned__claude,orthodoxum,,,
panika,f. I,panic,panika,dictionary_steenbergen,any,latin_learned__claude,panicam,,,
patriotycy,adj,patriottic,patriotyczny,dictionary_steenbergen,any,latin_learned__claude,patrioticum,,,
periodycy,adj,periodic,okresowy,dictionary_steenbergen,any,latin_learned__claude,periodicum,,,
pesymiski,adj,pessimistic,pesymistyczny,dictionary_steenbergen,any,latin_learned__claude,pessimisticum,,,
pika,f. I,magpie,sroka,dictionary_steenbergen,any,latin_learned__claude,picam,,,
plastyk,m,plastic,plastyk,dictionary_steenbergen,any,latin_learned__claude,plasticum,,,
płerały,adj,multiple,mnogi,dictionary_steenbergen,any,latin__claude,pluralem,,,
płerze,adj,several,"kilka, liczne",dictionary_steenbergen,any,latin__claude,plures,,,
poetycy,adj,poetical,poetyczny,dictionary_steenbergen,any,latin_learned__claude,poeticum,,,
polity,adj,polite,uprzejmy,dictionary_steenbergen,any,latin_learned__claude,politum,,,
posibły,adj,possible,możliwy,dictionary_steenbergen,any,latin_learned__claude,possibilem,,,
praktycy,adj,practical,praktyczny,dictionary_steenbergen,any,latin_learned__claude,practicum,,,
praktyka,f. I,practice,praktyka,dictionary_steenbergen,any,latin_learned__claude,practicam,,,
profędy,adj,deep,głęboki,dictionary_steenbergen,any,latin_inherited__claude,profundum,,,
psychiatrycy,adj,psychiatric,psychiatryczny,dictionary_steenbergen,any,latin_learned__claude,psychiatricum,,,
rapidy,adj,quick (movement),prędki,dictionary_steenbergen,any,latin_learned__claude,rapidum,,,
rary,adj,rare,rzadki,dictionary_steenbergen,any,latin_learned__claude,rarum,,,
regularzy,adj,regular,regularny,dictionary_steenbergen,any,latin_learned__claude,regularem,,,
reliżuzy,adj,religious,religijny,dictionary_steenbergen,any,latin_inherited__claude,religiosum,,,
reumatyka,f. I,rheumatism,reumatyzm,dictionary_steenbergen,any,latin_learned__claude,rheumaticam,,,
rewoluconarzy,adj,revolutionary,rewolucyjny,dictionary_steenbergen,any,latin__claude,revolutionarium,,,
saksofon,m,saxophone,saksofon,dictionary_steenbergen,any,french__claude,saxophone,,,
siewiory,adj,severe,surowy,dictionary_steenbergen,any,latin_inherited__claude,severum,,,
soczaliski,adj,socialist,socjalizm,dictionary_steenbergen,any,latin_learned__claude,socialisticum,,,
solidy,adj,solid,solidny,dictionary_steenbergen,any,latin_learned__claude,solidum,,,
specjaliski,adj,specialist,specjalistyczny,dictionary_steenbergen,any,latin_learned__claude,specialisticum,,,
standarty,adj,standard,standardowy,dictionary_steenbergen,any,french__claude,standard,,,
stupidy,adj,stupid,głupi,dictionary_steenbergen,any,latin_learned__claude,stupidum,,,
szef,m,"boss, chief",szef,dictionary_steenbergen,any,german__claude,Chef,,,
teoretycy,adj,theoretical,teoretyczny,dictionary_steenbergen,any,latin_learned__claude,theoreticum,,,
trąkiły,adj,quiet,spokojny,dictionary_steenbergen,any,latin_inherited__claude,tranquillum,,,
turyski,adj,tourist,turystyczny,dictionary_steenbergen,any,french__claude,touriste,,,
typ,n,type,typ,dictionary_steenbergen,any,latin_learned__claude,typum,,,
umiły,adj,humble,pokorny,dictionary_steenbergen,any,latin_inherited__claude,humilem,,,
wagon,m,wagon,wagon,dictionary_steenbergen,any,french__claude,wagon,,,
walidy,adj,valid,ważny (przed datą ważności),dictionary_steenbergen,any,latin_learned__claude,validum,,,
