lemma,grammar_gloss,meaning_en,meaning_pl,source,universe,etymology_languages,etymology_words,example_wen,example_wen_source,info
akademia,f. I,academy,akademia,dictionary_steenbergen,any,latin_learned__claude,academiam,,,
akademicy,adj,academic,akademiczny,dictionary_steenbergen,any,latin_learned__claude,academicum,,,
akcent,n,"accent, stress",akcent,dictionary_steenbergen,any,latin_learned__claude,accentum,,,
akordeon,m,accordeon,akordeon,dictionary_steenbergen,any,french__claude,accordéon,,,
aktórz,m,actor,aktor,dictionary_steenbergen,any,latin_learned__claude,actorem,,,
aktrzyca,f. I,actress,aktorka,dictionary_steenbergen,any,latin_learned__claude,actricem,,,
akuratamięć,adv,"precisely, exactly",dokładnie,dictionary_steenbergen,any,latin_learned__claude,accurate+mente,,,
akuraty,adj,precisely,dokładny,dictionary_steenbergen,any,latin_learned__claude,accuratum,,,
album,n,album,album,dictionary_steenbergen,any,latin_learned__claude,album,,,
alergia,f. I,allergy,alergia,dictionary_steenbergen,any,latin_learned__claude,allergiam,,,
alergicy,adj,allergic,"alergiczny, uczulony",dictionary_steenbergen,any,latin_learned__claude,allergicum,,,
alfabet,m,alphabet,"alfabet, abecadło",dictionary_steenbergen,any,latin_learned__claude,alphabetum,,,
alternaciwy,adj,alternative,alternatywny,dictionary_steenbergen,any,latin_learned__claude,alternativum,,,
ambasada,f. I,embassy,ambasada,dictionary_steenbergen,any,french__claude,ambassade,,,
ambasadórz,m,ambassador,ambasador,dictionary_steenbergen,any,french__claude,ambassadeur,,,
anonim,m,anonymous,anonim,dictionary_steenbergen,any,latin_learned__claude,anonymum,,,
anonimy,adj,anonymous,anonimowy,dictionary_steenbergen,any,latin_learned__claude,anonymum,,,
aparat,m,apparatus,aparat,dictionary_steenbergen,any,latin_learned__claude,apparatum,,,
apatia,f. I,apathy,apatia,dictionary_steenbergen,any,latin_learned__claude,apathiam,,,
apatycy,adj,apathetic,apatyczny,dictionary_steenbergen,any,latin_learned__claude,apathicum,,,
archeologia,f. I,archaeology,archeologia,dictionary_steenbergen,any,latin_learned__claude,archaeologiam,,,
archeologicy,adj,archeological,archeologiczny,dictionary_steenbergen,any,latin_learned__claude,archaeologicum,,,
archiwum,n,archive,archiwum,dictionary_steenbergen,any,latin_learned__claude,archivum,,,
artykuł,n,article,artykuł,dictionary_steenbergen,any,latin_learned__claude,articulum,,,
astrologia,f. I,astrology,astrologia,dictionary_steenbergen,any,latin_learned__claude,astrologiam,,,
astrologicy,adj,astrological,astrologiczny,dictionary_steenbergen,any,latin_learned__claude,astrologicum,,,
astronomia,f. I,astronomy,astronomia,dictionary_steenbergen,any,latin_learned__claude,astronomiam,,,
astronomicy,adj,astronomical,astronomiczny,dictionary_steenbergen,any,latin_learned__claude,astronomicum,,,
automat,m,automat,automat,dictionary_steenbergen,any,latin_learned__claude,automatum,,,
automatycy,adj,automatic,automatyczny,dictionary_steenbergen,any,latin_learned__claude,automaticum,,,
autonomia,f. I,autonomy,autonomia,dictionary_steenbergen,any,latin_learned__claude,autonomiam,,,
autonomicy,adj,autonomous,autonomiczny,dictionary_steenbergen,any,latin_learned__claude,autonomicum,,,
bienińtać,f,benignity,"łagodność, dobroczynność",dictionary_steenbergen,any,latin_inherited__claude,benignitatem,,,
biografia,f. I,biography,biografia,dictionary_steenbergen,any,latin_learned__claude,biographiam,,,
biograficy,adj,biographic,biograficzny,dictionary_steenbergen,any,latin_learned__claude,biographicum,,,
biologicy,adj,biological,biologiczny,dictionary_steenbergen,any,latin_learned__claude,biologicum,,,
brutały,adj,brutal,brutalny,dictionary_steenbergen,any,latin_learned__claude,brutalem,,,
brykieta,f. I,lighter,zapalniczka,dictionary_steenbergen,any,french__claude,briquette,,,
brylant,m,brilliant,brylant,dictionary_steenbergen,any,french__claude,brillant,,,
celtycy,adj,Celtic,celtycki,dictionary_steenbergen,any,latin_learned__claude,celticum,,,
centrały,adj,central,"centralny, środkowy",dictionary_steenbergen,any,latin_learned__claude,centralem,,,
ceremonia,f. I,ceremony,ceremonia,dictionary_steenbergen,any,latin_learned__claude,caeremoniam,,,
cędartać,f,tenderness,czułość,dictionary_steenbergen,any,latin_inherited__claude,tenertatem,,,
chaotycy,adj,chaotic,chaotyczny,dictionary_steenbergen,any,latin_learned__claude,chaoticum,,,
chemia,f. I,chemistry,chemia,dictionary_steenbergen,any,latin_learned__claude,chimiam,,,
chemicy,adj,chemical,chemiczny,dictionary_steenbergen,any,latin_learned__claude,chimicum,,,
chirurgia,f. I,surgery,chirurgia,dictionary_steenbergen,any,latin_learned__claude,chirurgiam,,,
chrzyszczańtać,f,Christianity,chrześcijaństwo,dictionary_steenbergen,any,latin_inherited__claude,christianitatem,,,
cukier,m,sugar,cukier,dictionary_steenbergen,any,german__claude,Zucker,,,
cygareta,f. I,cigarette,papieros,dictionary_steenbergen,any,french__claude,cigarette,,,
czelebartać,f,celebrity,słynność,dictionary_steenbergen,any,latin_inherited__claude,celebritatem,,,
dekada,f. I,decade,"dekada, dziesięciolecie",dictionary_steenbergen,any,latin_learned__claude,decadem,,,
demagogicy,adj,demagogical,demagogiczny,dictionary_steenbergen,any,latin_learned__claude,demagogicum,,,
demokratycy,adj,democratic,demokratyczny,dictionary_steenbergen,any,latin_learned__claude,democraticum,,,
dziabolicy,adj,diabolical,diabelski,dictionary_steenbergen,any,latin_inherited__claude,diabolicum,,,
dziekan,m,deacon,dekan,dictionary_steenbergen,any,latin_learned__claude,diaconum,,,
ekonomia,f. I,economy,gospodarka,dictionary_steenbergen,any,latin_learned__claude,oeconomiam,,,
ekonomicy,adj,economic,gospodarczy,dictionary_steenbergen,any,latin_learned__claude,oeconomicum,,,
elastycy,adj,elastic,elastyczny,dictionary_steenbergen,any,latin_learned__claude,elasticum,,,
elektronicy,adj,electronic,elektroniczny,dictionary_steenbergen,any,latin_learned__claude,electronicum,,,
elektryctać,f,electricity,elektryczność,dictionary_steenbergen,any,latin_inherited__claude,electricitatem,,,
embroczaceń,f,embracing,objęcie,dictionary_steenbergen,any,latin_inherited__claude,inbrachiationem,,,
emoconały,adj,emotional,emocjonalny,dictionary_steenbergen,any,latin__claude,emotionalem,,,
epicy,adj,epical,epiczny,dictionary_steenbergen,any,latin_learned__claude,epicum,,,
erotycy,adj,erotic,erotyczny,dictionary_steenbergen,any,latin_learned__claude,eroticum,,,
etymologia,f. I,etymology,etymologia,dictionary_steenbergen,any,latin_learned__claude,etymologiam,,,
etymologicy,adj,etymological,etymologiczny,dictionary_steenbergen,any,latin_learned__claude,etymologicum,,,
faczyltać,f,easiness,łatwość,dictionary_steenbergen,any,latin_inherited__claude,facilitatem,,,
fieceń,f,invention,wynalazek,dictionary_steenbergen,any,latin_inherited__claude,fictionem,,,factionem? fictionem?
fiedzieltać,f,"faithfulness, fidelity",wierność,dictionary_steenbergen,any,latin_inherited__claude,fidelitatem,,,
finały,adj,final,końcowy,dictionary_steenbergen,any,latin_learned__claude,finalem,,,
fiskały,adj,fiscal,fiskalny,dictionary_steenbergen,any,latin_learned__claude,fiscalem,,,
fizycy,adj,physical,fizyczny,dictionary_steenbergen,any,latin_learned__claude,physicum,,,
fizyk,m,physician,fizyk,dictionary_steenbergen,any,latin_learned__claude,physicum,,,
fiżyciwy,adj,fugitive; volatile,uciekły; ulotny,dictionary_steenbergen,any,latin_inherited__claude,fugitivum,,,
fotograf,m,photographer,fotograf,dictionary_steenbergen,any,latin_learned__claude,photographum,,,
fotografia,f. I,photography,fotografia,dictionary_steenbergen,any,latin_learned__claude,photographiam,,,
funkconały,adj,functional,funkcjonalny,dictionary_steenbergen,any,latin__claude,functionalem,,,
gazeta,f. I,newspaper,gazeta,dictionary_steenbergen,any,italian__claude,gazzetta,,,
