lemma,grammar_gloss,meaning_en,meaning_pl,source,universe,etymology_languages,etymology_words,example_wen,example_wen_source,info
Jewrzej,m,Jew,Żyd,dictionary_steenbergen,?,latin_inherited,hebraeum,,,
afrykany,adj,African,afrykański,dictionary_steenbergen,any,latin_learned,Africanum + is,,,
akwadukt,m,aqueduct,akwedukt,dictionary_steenbergen,any,latin_learned,aquaeductum,,,
ambiceń,f,ambition,ambicja,dictionary_steenbergen,any,latin_learned,ambitionem,,,
arcybiskup,m,archbishop,arcybiskup,dictionary_steenbergen,any,latin_learned,archiepiscopum,,,
bilet,m,ticket,bilet,dictionary_steenbergen,any,french,billet,,,
biologia,f. I,biology,biologia,dictionary_steenbergen,any,latin_learned,biologiam,,,
bohemki,adj,Bohemian,bohemski,dictionary_steenbergen,?,latin_inherited,Bohemicum + is,,,
bor,n,boron,bor,dictionary_steenbergen,any,english,boron,,,
boszar,"v, 2",lower,spuszczać,dictionary_steenbergen,any,latin_inherited,basiare,,,
chaos,m,chaos,chaos,dictionary_steenbergen,any,latin_learned,chaos,,,
cholera,f. I,cholera,cholera,dictionary_steenbergen,any,latin_learned,choleram,,,
ciasta,f. I,pot,"słoik, doniczka",dictionary_steenbergen,any,latin_inherited,testam,,,
cynamon,m,cinnamon,cynamon,dictionary_steenbergen,any,latin_learned,cinnamomum,,,
częcień,f,century,"wiek, stulecie",dictionary_steenbergen,any,latin_inherited,*centionem,,,
damnar,"v, 1",damn,"potępiać, przeklinać",dictionary_steenbergen,any,latin,damnare,,,
demagog,m,demagogue,demagog,dictionary_steenbergen,any,latin_learned,demagogum,,,
desfiedzar,"v, 1",betray,zdradzać,dictionary_steenbergen,any,latin_inherited,disfidare,,,
dezmiecier,"v, irr.","send out, distribute",rozsyłać,dictionary_steenbergen,any,latin_inherited,dis- + mittere,,,
dezrodzień,f,"disorder, mess","nieład, nieporządek",dictionary_steenbergen,any,latin_inherited,dis- + ordinem,,,
dziabeł,m,devil,diabeł,dictionary_steenbergen,any,latin_inherited,diabolum,,,
dziefięca,f. I,defence,obrona,dictionary_steenbergen,any,latin_inherited,defensam,,,
dziejer,"v, irr.","leave, go away",odchodzić,dictionary_steenbergen,any,latin_inherited,deire,,,
dziekołorar,"v, 1",discolour,odbarwiać,dictionary_steenbergen,any,latin_inherited,decolorare,,,
dziemięci,adj,stupid,szalony,dictionary_steenbergen,any,latin_inherited,dementem + is,,,
dzierzecar,"v, 2",direct,kierować,dictionary_steenbergen,any,latin_inherited,derectum + -are,,,
dziestryjer,"v, 7",destruct,"demontować, demolować",dictionary_steenbergen,any,latin_inherited,destruere,,,
dzieszczędzier,"v, 7",descend,"schodzić, zejść",dictionary_steenbergen,any,latin_inherited,descendere,,,
dziewnier,"v, irr.",become,stać się,dictionary_steenbergen,any,latin_inherited,devenire,,,
egoiski,adj,egoistic,egoistyczny,dictionary_steenbergen,any,latin_learned,egoisticum + is,,,
ekran,m,screen,ekran,dictionary_steenbergen,any,french,écran,,,
elemiętarzy,adj,elementary,elementarny,dictionary_steenbergen,any,latin_learned,elementarium + is,,,
enjer,"v, irr.","enter, go in","wchodzić, wejść",dictionary_steenbergen,any,latin_inherited,inire,,,
ferza,f. I,fury,"gniew, wściekłość",dictionary_steenbergen,any,latin_inherited,furiam,,,
fiecz,f,"dung, manure","nawóz, gnój",dictionary_steenbergen,any,latin_inherited,faecem,,,
focwalemięć,adv,in fact,faktycznie,dictionary_steenbergen,any,latin_inherited,factualem + mente,,,
fort,m,fortress,"forteca, twierdza",dictionary_steenbergen,any,latin_learned,fortem,,,
frekwięci,adj,frequent,częsty,dictionary_steenbergen,any,latin_inherited,frequentem + is,,,
frętały,adj,front,przedni,dictionary_steenbergen,any,latin_inherited,frontalem + is,,,
fugar,"v, 1","expel, chase away",wyganiać,dictionary_steenbergen,any,latin,fugare,,,
fuzgar,"v, 1","cudgel, beat with a stick",bić pałką,dictionary_steenbergen,any,,,,,"CLAUDE: Latin fustigare = to cudgel, beat with a stick; fustis = stick"
fymiar  (dial.),"v, 1",smoke,palić,dictionary_steenbergen,any,latin_inherited,fumare,,,
fódz,m,excavation,nora,dictionary_steenbergen,any,,,,,
"fąd, fędu",n,depth,"głąb, głębia",dictionary_steenbergen,any,latin_inherited,fundum,,,
graficy,adj,graphical,graficzny,dictionary_steenbergen,any,latin_learned,graphicum + is,,,
halożen,n,halogen,halogen,dictionary_steenbergen,any,latin_learned,halogenum,,,
interes,m,"cause, interest",interes,dictionary_steenbergen,any,latin_learned,interesse,,,
jałtydzień,f,height,wysokość,dictionary_steenbergen,any,latin_inherited,altitudinem,,,
jekuniny,adj,female,kobiecy,dictionary_steenbergen,any,latin_inherited,equum + -unam + -inus + is,,,
jeleceń,f,election,wybór,dictionary_steenbergen,any,latin_inherited,electionem,,,
jelkód,pron.ind.,something,coś,dictionary_steenbergen,any,latin_inherited,aliquod,,,
jematórz,m,lover,kochanek,dictionary_steenbergen,any,latin_inherited,amatorem,,,
jesaler,"v, 6",jump out,wyskakiwać,dictionary_steenbergen,any,latin_inherited,ex- + salire,,,
jesoniaty,adj,ideal,wymarzony,dictionary_steenbergen,any,latin_inherited,ex- + somniatum + is,,,
